Question,openai_gpt-3.5-turbo_1,openai_gpt-3.5-turbo_2,openai_gpt-4o-mini_1,openai_gpt-4o-mini_2,ollama_llama3,gpt-4o-mini_student_teacher,ollama_gemma_student_teacher,gpt-4o-mini_blind
Empowerment by the Holy Spirit answered by mistral atheist,90.0,95.0,95.0,95.0,90.0,80.0,85.0,80.0
Understanding Worldly Values answered by mistral atheist,90.0,90.0,85.0,85.0,60.0,75.0,80.0,90.0
Scriptural Reference answered by mistral atheist,95.0,90.0,90.0,95.0,80.0,80.0,85.0,90.0
Corruption of the World answered by mistral atheist,95.0,95.0,90.0,95.0,85.0,90.0,85.0,85.0
Understanding Humility answered by mistral atheist,95.0,90.0,90.0,95.0,85.0,80.0,85.0,90.0
Biblical Example of Humility answered by mistral atheist,90.0,95.0,95.0,90.0,80.0,70.0,90.0,95.0
Consequences of Pride answered by mistral atheist,95.0,95.0,95.0,90.0,85.0,90.0,85.0,90.0
Definition of Begetting answered by mistral atheist,90.0,85.0,85.0,90.0,85.0,80.0,80.0,85.0
Translation of Begotten answered by mistral atheist,85.0,90.0,80.0,92.0,70.0,70.0,85.0,70.0
Biblical Usage answered by mistral atheist,85.0,85.0,85.0,90.0,85.0,70.0,85.0,70.0
Authority of God answered by mistral atheist,95.0,85.0,90.0,90.0,85.0,85.0,90.0,80.0
Translation of 'Yahweh' answered by mistral atheist,80.0,85.0,85.0,85.0,85.0,75.0,85.0,80.0
Hosts in Scripture answered by mistral atheist,90.0,85.0,85.0,90.0,85.0,85.0,85.0,85.0
Covenant Faithfulness Defined answered by mistral atheist,90.0,90.0,95.0,90.0,85.0,85.0,85.0,90.0
Biblical References answered by mistral atheist,85.0,70.0,90.0,65.0,60.0,90.0,85.0,90.0
Translation Variations answered by mistral atheist,85.0,90.0,60.0,85.0,85.0,70.0,85.0,75.0
Understanding Faithlessness answered by mistral atheist,60.0,70.0,75.0,70.0,60.0,60.0,80.0,45.0
Unfaithfulness in Worship answered by mistral atheist,90.0,90.0,95.0,90.0,75.0,85.0,85.0,90.0
Adultery and Unfaithfulness answered by mistral atheist,90.0,90.0,95.0,90.0,80.0,90.0,85.0,90.0
Centurion and Healing answered by mistral atheist,95.0,95.0,90.0,95.0,92.0,80.0,90.0,85.0
Centurion at the Crucifixion answered by mistral atheist,95.0,95.0,92.0,95.0,80.0,90.0,85.0,85.0
Centurion and Peter answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,90.0,85.0,90.0
Dominion in Creation answered by mistral atheist,90.0,95.0,95.0,95.0,90.0,90.0,85.0,85.0
Dominion of Christ answered by mistral atheist,60.0,50.0,50.0,50.0,85.0,40.0,85.0,50.0
Victory over Satan's Dominion answered by mistral atheist,90.0,90.0,85.0,80.0,80.0,75.0,85.0,85.0
Understanding Adultery answered by mistral atheist,90.0,95.0,90.0,95.0,85.0,80.0,85.0,90.0
Definition Clarity answered by mistral atheist,95.0,95.0,95.0,95.0,80.0,85.0,85.0,90.0
Faithfulness in Marriage answered by mistral atheist,95.0,90.0,95.0,95.0,92.0,80.0,90.0,90.0
Understanding Discipleship answered by mistral atheist,95.0,90.0,95.0,90.0,85.0,95.0,90.0,95.0
The Role of the Twelve Apostles answered by mistral atheist,90.0,90.0,90.0,90.0,95.0,80.0,85.0,75.0
The Great Commission answered by mistral atheist,40.0,65.0,70.0,90.0,60.0,50.0,80.0,60.0
Understanding Forgiveness answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,95.0,90.0,95.0
Pardon in Christianity answered by mistral atheist,70.0,70.0,70.0,80.0,75.0,40.0,80.0,40.0
Biblical Basis for Forgiveness answered by mistral atheist,100.0,100.0,95.0,95.0,95.0,90.0,85.0,95.0
Significance of Altars answered by mistral atheist,90.0,95.0,90.0,90.0,85.0,90.0,85.0,90.0
Building Materials answered by mistral atheist,90.0,90.0,85.0,80.0,80.0,85.0,85.0,85.0
Historical Examples answered by mistral atheist,90.0,90.0,95.0,90.0,85.0,90.0,85.0,90.0
Day of the Lord Meaning answered by mistral atheist,90.0,85.0,90.0,90.0,60.0,70.0,85.0,90.0
Judgment and Resurrection answered by mistral atheist,85.0,90.0,85.0,85.0,80.0,80.0,85.0,85.0
God's Wrath answered by mistral atheist,55.0,40.0,20.0,60.0,80.0,60.0,85.0,70.0
Definition of Gospel answered by mistral atheist,90.0,90.0,95.0,90.0,80.0,85.0,85.0,85.0
Importance of Proclaiming the Gospel answered by mistral atheist,85.0,95.0,90.0,95.0,60.0,80.0,85.0,85.0
Role of Scripture in the Gospel answered by mistral atheist,90.0,90.0,95.0,95.0,85.0,70.0,85.0,85.0
God's Power answered by mistral atheist,80.0,80.0,90.0,85.0,80.0,60.0,85.0,60.0
Titles of God answered by mistral atheist,85.0,85.0,85.0,95.0,85.0,85.0,85.0,80.0
Scriptural References answered by mistral atheist,95.0,92.0,95.0,95.0,80.0,95.0,95.0,90.0
Understanding the Cross answered by mistral atheist,95.0,95.0,95.0,95.0,92.0,90.0,95.0,90.0
Daily Bearing the Cross answered by mistral atheist,85.0,95.0,90.0,95.0,90.0,90.0,85.0,80.0
Historical Context of the Cross answered by mistral atheist,95.0,95.0,90.0,95.0,90.0,80.0,90.0,95.0
Nature of the Soul answered by mistral atheist,90.0,90.0,90.0,85.0,85.0,85.0,85.0,80.0
Purpose of the Soul answered by mistral atheist,95.0,90.0,85.0,93.0,95.0,70.0,85.0,75.0
Function of the Soul answered by mistral atheist,90.0,85.0,85.0,90.0,80.0,85.0,85.0,70.0
Definition of Beloved answered by mistral atheist,90.0,90.0,90.0,85.0,60.0,85.0,85.0,85.0
Beloved in Scripture answered by mistral atheist,85.0,90.0,95.0,95.0,85.0,85.0,85.0,85.0
Translations of Beloved answered by mistral atheist,90.0,90.0,90.0,95.0,60.0,60.0,85.0,90.0
Understanding Adoption in Christ answered by mistral atheist,70.0,90.0,50.0,80.0,85.0,70.0,85.0,75.0
Privileges of Sonship answered by mistral atheist,95.0,85.0,80.0,90.0,85.0,70.0,85.0,75.0
Looking Forward to Adoption answered by mistral atheist,80.0,90.0,90.0,85.0,92.0,75.0,85.0,70.0
Understanding the Day of Judgment answered by mistral atheist,90.0,90.0,90.0,85.0,85.0,70.0,85.0,55.0
Judgment Criteria answered by mistral atheist,90.0,95.0,90.0,95.0,80.0,90.0,85.0,80.0
Scriptural References 2 answered by mistral atheist,80.0,80.0,90.0,90.0,80.0,75.0,85.0,90.0
Understanding Iniquity answered by mistral atheist,95.0,85.0,85.0,90.0,85.0,70.0,85.0,80.0
Implications of Iniquity answered by mistral atheist,90.0,90.0,90.0,95.0,95.0,85.0,85.0,85.0
Scriptural References 3 answered by mistral atheist,90.0,85.0,90.0,95.0,85.0,70.0,85.0,80.0
Restoration of Relationships answered by mistral atheist,85.0,85.0,85.0,85.0,85.0,70.0,85.0,70.0
Scriptural References to Restoration answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,80.0,90.0,95.0
Concept of Renewal answered by mistral atheist,90.0,90.0,90.0,95.0,85.0,80.0,85.0,90.0
Purpose of Tests answered by mistral atheist,75.0,85.0,60.0,70.0,80.0,60.0,85.0,85.0
Testing God answered by mistral atheist,90.0,95.0,95.0,90.0,85.0,50.0,85.0,95.0
Testing and Temptation answered by mistral atheist,85.0,80.0,90.0,90.0,85.0,70.0,85.0,85.0
Myrrh as a Gift answered by mistral atheist,90.0,90.0,90.0,90.0,85.0,80.0,85.0,85.0
Use in Burial answered by mistral atheist,85.0,85.0,90.0,90.0,85.0,85.0,85.0,85.0
Jesus’ Crucifixion answered by mistral atheist,85.0,70.0,60.0,80.0,85.0,50.0,85.0,80.0
Understanding Condemnation answered by mistral atheist,85.0,85.0,90.0,85.0,80.0,65.0,85.0,65.0
Right Judgment answered by mistral atheist,90.0,90.0,80.0,85.0,90.0,70.0,85.0,65.0
Condemnation and Punishment answered by mistral atheist,85.0,90.0,85.0,85.0,95.0,85.0,85.0,60.0
Understanding Eternal Life answered by mistral atheist,70.0,70.0,75.0,60.0,60.0,70.0,80.0,70.0
Nature of Eternity answered by mistral atheist,90.0,95.0,90.0,90.0,85.0,75.0,85.0,85.0
David's Throne answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,80.0,85.0,90.0
Definition of Good answered by mistral atheist,70.0,85.0,85.0,85.0,85.0,70.0,85.0,75.0
God as Good answered by mistral atheist,85.0,90.0,90.0,90.0,85.0,90.0,85.0,60.0
Doing Good answered by mistral atheist,90.0,95.0,92.0,95.0,80.0,90.0,90.0,90.0
Understanding Trespass in a Christian Context answered by mistral atheist,90.0,90.0,90.0,90.0,90.0,85.0,85.0,85.0
Biblical Examples of Trespass answered by mistral atheist,90.0,90.0,85.0,90.0,95.0,85.0,85.0,85.0
Translation of Trespass in Different Contexts answered by mistral atheist,90.0,85.0,90.0,85.0,85.0,85.0,85.0,80.0
Understanding God's Call answered by mistral atheist,95.0,85.0,90.0,90.0,85.0,75.0,85.0,85.0
Purpose in Calling answered by mistral atheist,20.0,50.0,20.0,20.0,60.0,20.0,85.0,20.0
God's Intentionality answered by mistral atheist,80.0,85.0,80.0,60.0,60.0,60.0,85.0,55.0
Understanding Lament answered by mistral atheist,80.0,85.0,90.0,85.0,85.0,70.0,85.0,75.0
Biblical Examples of Lamentation answered by mistral atheist,95.0,95.0,95.0,95.0,95.0,90.0,90.0,95.0
Translation of Lamentation answered by mistral atheist,95.0,90.0,90.0,90.0,85.0,80.0,85.0,85.0
Understanding the Role of a Savior answered by mistral atheist,90.0,90.0,90.0,90.0,95.0,85.0,85.0,85.0
Biblical References to Salvation answered by mistral atheist,85.0,75.0,80.0,80.0,90.0,85.0,85.0,70.0
Translation of Savior answered by mistral atheist,95.0,95.0,92.0,95.0,85.0,80.0,85.0,85.0
Messiah Prophecies answered by mistral atheist,85.0,80.0,90.0,90.0,80.0,70.0,85.0,60.0
Role of the Messiah answered by mistral atheist,90.0,90.0,90.0,85.0,80.0,60.0,85.0,90.0
Christ as Title answered by mistral atheist,90.0,90.0,95.0,90.0,80.0,90.0,85.0,85.0
Temple Significance answered by mistral atheist,90.0,95.0,85.0,90.0,85.0,85.0,85.0,80.0
Temple as God's Dwelling answered by mistral atheist,95.0,90.0,90.0,95.0,85.0,85.0,85.0,85.0
Rebuilding the Temple answered by mistral atheist,80.0,85.0,90.0,90.0,40.0,80.0,85.0,85.0
Role of Scribes in the Old Testament answered by mistral atheist,85.0,80.0,90.0,80.0,85.0,60.0,85.0,70.0
Passover Significance answered by mistral atheist,95.0,90.0,90.0,95.0,85.0,85.0,90.0,90.0
Annual Remembrance answered by mistral atheist,90.0,90.0,85.0,90.0,85.0,85.0,85.0,80.0
Role of Blood in Passover answered by mistral atheist,90.0,85.0,90.0,80.0,85.0,80.0,85.0,70.0
Understanding Yahweh's Power answered by mistral atheist,90.0,95.0,95.0,90.0,85.0,70.0,85.0,95.0
Understanding Faith answered by mistral atheist,90.0,85.0,85.0,90.0,60.0,80.0,85.0,85.0
Faith's Impact answered by mistral atheist,90.0,90.0,85.0,95.0,85.0,80.0,85.0,60.0
The Faith Expressions answered by mistral atheist,50.0,60.0,60.0,80.0,60.0,60.0,85.0,60.0
Ark Location answered by mistral atheist,95.0,40.0,60.0,40.0,60.0,90.0,85.0,50.0
High Priest Access answered by mistral atheist,95.0,90.0,95.0,95.0,60.0,85.0,85.0,95.0
Contents Of Ark answered by mistral atheist,90.0,95.0,90.0,95.0,85.0,85.0,90.0,90.0
Understanding the Kingdom answered by mistral atheist,95.0,95.0,95.0,90.0,85.0,80.0,85.0,70.0
Role of Jesus as Messiah answered by mistral atheist,90.0,80.0,80.0,90.0,85.0,50.0,85.0,65.0
Value of the Kingdom answered by mistral atheist,95.0,90.0,90.0,95.0,95.0,80.0,85.0,80.0
Understanding Birthright answered by mistral atheist,90.0,95.0,90.0,95.0,90.0,85.0,85.0,90.0
Firstborn Blessing answered by mistral atheist,85.0,90.0,85.0,90.0,85.0,65.0,85.0,70.0
Scriptural References 4 answered by mistral atheist,85.0,95.0,90.0,90.0,85.0,80.0,85.0,85.0
God's Jealousy answered by mistral atheist,90.0,90.0,80.0,85.0,85.0,90.0,85.0,70.0
Human Jealousy answered by mistral atheist,85.0,85.0,85.0,85.0,92.0,75.0,85.0,75.0
Protectiveness in Relationships answered by mistral atheist,90.0,95.0,95.0,90.0,85.0,85.0,90.0,90.0
Baptism Purpose answered by mistral atheist,95.0,95.0,95.0,95.0,80.0,85.0,90.0,90.0
Baptism Methods answered by mistral atheist,90.0,90.0,95.0,90.0,90.0,85.0,85.0,85.0
Baptism and Repentance answered by mistral atheist,90.0,95.0,90.0,95.0,85.0,80.0,85.0,85.0
Understanding Woe answered by mistral atheist,90.0,95.0,95.0,95.0,80.0,80.0,85.0,90.0
Biblical Usage of Woe answered by mistral atheist,95.0,95.0,95.0,90.0,85.0,85.0,85.0,85.0
Personal Reflection answered by mistral atheist,75.0,50.0,30.0,40.0,60.0,60.0,85.0,50.0
Conscience Understanding answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,75.0,85.0,85.0
Clear Conscience answered by mistral atheist,90.0,85.0,90.0,90.0,60.0,80.0,85.0,85.0
Seared Conscience answered by mistral atheist,90.0,95.0,90.0,90.0,85.0,85.0,90.0,90.0
Understanding Justice answered by mistral atheist,95.0,95.0,90.0,95.0,95.0,85.0,90.0,75.0
God's Justification answered by mistral atheist,90.0,90.0,95.0,95.0,85.0,40.0,85.0,50.0
Injustice in Society answered by mistral atheist,95.0,95.0,85.0,95.0,85.0,60.0,85.0,60.0
Synagogue Purpose answered by mistral atheist,95.0,90.0,90.0,95.0,85.0,90.0,85.0,90.0
Jesus in Synagogues answered by mistral atheist,90.0,95.0,95.0,95.0,90.0,80.0,85.0,80.0
Synagogue Beliefs answered by mistral atheist,85.0,85.0,90.0,90.0,85.0,80.0,85.0,70.0
Definition of Church answered by mistral atheist,95.0,95.0,95.0,90.0,80.0,85.0,85.0,95.0
Local Church Meetings answered by mistral atheist,90.0,90.0,90.0,90.0,80.0,90.0,85.0,95.0
Translation of Church answered by mistral atheist,85.0,75.0,90.0,80.0,85.0,60.0,85.0,80.0
Definition of Angel answered by mistral atheist,85.0,90.0,90.0,90.0,85.0,85.0,85.0,80.0
Archangel Michael answered by mistral atheist,90.0,90.0,85.0,80.0,60.0,70.0,85.0,90.0
Role of Angels in Human Affairs answered by mistral atheist,85.0,85.0,90.0,70.0,85.0,75.0,85.0,80.0
Covenant Definition answered by mistral atheist,90.0,90.0,90.0,90.0,85.0,90.0,85.0,90.0
New Covenant Significance answered by mistral atheist,85.0,90.0,90.0,90.0,60.0,80.0,85.0,85.0
Covenant Conditions answered by mistral atheist,95.0,90.0,95.0,90.0,70.0,90.0,85.0,95.0
Understanding Satan's Role answered by mistral atheist,95.0,90.0,90.0,95.0,85.0,80.0,85.0,90.0
Temptation and Resistance answered by mistral atheist,90.0,90.0,95.0,95.0,95.0,85.0,90.0,95.0
Victory Over Evil answered by mistral atheist,90.0,90.0,90.0,90.0,80.0,80.0,85.0,75.0
Understanding Perish answered by mistral atheist,90.0,85.0,80.0,85.0,85.0,75.0,85.0,85.0
Eternal Consequences answered by mistral atheist,50.0,70.0,85.0,20.0,60.0,20.0,80.0,20.0
Physical vs. Spiritual Death answered by mistral atheist,90.0,70.0,90.0,90.0,85.0,30.0,85.0,70.0
Understanding Majesty answered by mistral atheist,95.0,95.0,80.0,95.0,80.0,70.0,85.0,80.0
Biblical References 2 answered by mistral atheist,70.0,85.0,95.0,80.0,85.0,70.0,85.0,90.0
Translation of Royal Titles answered by mistral atheist,85.0,90.0,90.0,90.0,40.0,65.0,85.0,80.0
Understanding Mercy answered by mistral atheist,50.0,75.0,80.0,70.0,85.0,60.0,85.0,60.0
Biblical Examples of Mercy answered by mistral atheist,75.0,85.0,70.0,80.0,80.0,80.0,85.0,80.0
The Importance of Mercy answered by mistral atheist,90.0,90.0,90.0,90.0,85.0,75.0,85.0,50.0
Definition of Saints answered by mistral atheist,95.0,90.0,95.0,90.0,80.0,90.0,85.0,90.0
Source of Holiness answered by mistral atheist,95.0,90.0,90.0,90.0,85.0,70.0,85.0,90.0
Translation of Saints answered by mistral atheist,80.0,80.0,65.0,85.0,80.0,50.0,85.0,70.0
Understanding the Image of God in Humans answered by mistral atheist,95.0,90.0,90.0,92.0,70.0,85.0,85.0,85.0
Nature of Christ as the Image of God answered by mistral atheist,80.0,80.0,70.0,80.0,60.0,80.0,90.0,85.0
Translation Insights answered by mistral atheist,85.0,90.0,90.0,85.0,70.0,60.0,85.0,60.0
Understanding Transgression answered by mistral atheist,85.0,90.0,90.0,90.0,85.0,80.0,85.0,90.0
Transgression and Sin answered by mistral atheist,90.0,60.0,90.0,90.0,85.0,50.0,85.0,60.0
Biblical Examples of Transgression answered by mistral atheist,85.0,90.0,90.0,95.0,60.0,85.0,85.0,90.0
Understanding Divine Judgment answered by mistral atheist,90.0,95.0,95.0,95.0,95.0,90.0,90.0,90.0
Judging Others answered by mistral atheist,95.0,95.0,95.0,95.0,95.0,90.0,90.0,90.0
Nature of Judgment Day answered by mistral atheist,90.0,90.0,90.0,85.0,85.0,90.0,85.0,85.0
Messianic Identity answered by mistral atheist,85.0,90.0,80.0,85.0,60.0,70.0,85.0,85.0
Biblical Fulfillment answered by mistral atheist,90.0,90.0,95.0,95.0,95.0,85.0,85.0,85.0
Authority of Jesus answered by mistral atheist,80.0,65.0,85.0,70.0,70.0,60.0,85.0,60.0
Understanding Sacrifice answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,90.0,90.0,90.0
Comparison of Humans and Sheep answered by mistral atheist,95.0,90.0,95.0,95.0,80.0,90.0,85.0,85.0
Symbolism of the Lamb answered by mistral atheist,95.0,95.0,90.0,95.0,95.0,90.0,90.0,85.0
Understanding Heaven's Definition answered by mistral atheist,90.0,90.0,90.0,90.0,85.0,85.0,85.0,80.0
Kingdom of Heaven answered by mistral atheist,85.0,85.0,85.0,92.0,85.0,80.0,90.0,70.0
Biblical References to Heaven answered by mistral atheist,70.0,85.0,90.0,85.0,85.0,80.0,85.0,85.0
Understanding the Name of God answered by mistral atheist,95.0,90.0,95.0,95.0,85.0,85.0,85.0,90.0
Translation Practices answered by mistral atheist,85.0,90.0,85.0,85.0,80.0,70.0,85.0,90.0
God's Revelation answered by mistral atheist,90.0,85.0,90.0,90.0,75.0,80.0,85.0,85.0
Definition of a Miracle answered by mistral atheist,30.0,30.0,70.0,50.0,85.0,60.0,80.0,60.0
Examples of Jesus' Miracles answered by mistral atheist,95.0,85.0,90.0,90.0,85.0,70.0,85.0,85.0
Miracles and Belief answered by mistral atheist,70.0,85.0,80.0,70.0,85.0,60.0,85.0,60.0
Understanding God's Will answered by mistral atheist,90.0,70.0,80.0,75.0,85.0,60.0,85.0,70.0
God's Purpose answered by mistral atheist,40.0,60.0,50.0,70.0,85.0,30.0,85.0,30.0
Interacting with God answered by mistral atheist,55.0,50.0,60.0,40.0,60.0,40.0,85.0,40.0
Role of Prophets answered by mistral atheist,90.0,90.0,90.0,80.0,85.0,85.0,85.0,85.0
Fulfillment of Prophecy answered by mistral atheist,90.0,95.0,95.0,95.0,95.0,90.0,85.0,85.0
True vs False Prophets answered by mistral atheist,90.0,70.0,85.0,90.0,85.0,70.0,85.0,70.0
Understanding of Sheol and Hades answered by mistral atheist,90.0,85.0,95.0,85.0,85.0,75.0,85.0,80.0
Translation of Hades answered by mistral atheist,80.0,90.0,70.0,65.0,85.0,80.0,85.0,85.0
Scriptural References 5 answered by mistral atheist,90.0,85.0,95.0,90.0,85.0,90.0,85.0,85.0
Understanding the Name of God 2 answered by mistral atheist,95.0,90.0,90.0,90.0,85.0,85.0,85.0,85.0
Translation of Divine Titles answered by mistral atheist,85.0,80.0,85.0,90.0,85.0,85.0,85.0,80.0
Distinction in Divine Titles answered by mistral atheist,85.0,95.0,90.0,90.0,90.0,80.0,90.0,80.0
Understanding God's Authority answered by mistral atheist,75.0,85.0,70.0,60.0,85.0,65.0,85.0,40.0
Interpreting 'High' in God's Title answered by mistral atheist,70.0,70.0,60.0,40.0,85.0,30.0,85.0,50.0
Biblical References to the Most High answered by mistral atheist,95.0,95.0,95.0,90.0,85.0,85.0,90.0,85.0
Fellowship Meaning answered by mistral atheist,95.0,95.0,95.0,95.0,80.0,80.0,85.0,90.0
Practices of Fellowship answered by mistral atheist,90.0,85.0,90.0,90.0,85.0,85.0,85.0,90.0
Fellowship with God answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,80.0,90.0,90.0
Understanding the Title answered by mistral atheist,70.0,60.0,70.0,80.0,60.0,60.0,80.0,70.0
Biblical References 3 answered by mistral atheist,85.0,80.0,85.0,85.0,80.0,85.0,85.0,85.0
Second Coming answered by mistral atheist,90.0,85.0,85.0,85.0,85.0,60.0,85.0,70.0
Sadducees and Resurrection answered by mistral atheist,90.0,90.0,90.0,95.0,80.0,80.0,85.0,90.0
Role of Sadducees answered by mistral atheist,90.0,90.0,95.0,95.0,40.0,70.0,80.0,70.0
Influence on Jesus' Crucifixion answered by mistral atheist,70.0,90.0,80.0,75.0,70.0,70.0,85.0,60.0
Understanding Demons answered by mistral atheist,95.0,85.0,85.0,95.0,70.0,80.0,85.0,85.0
Understanding Shaddai answered by mistral atheist,90.0,90.0,90.0,85.0,70.0,75.0,80.0,60.0
Translating El Shaddai answered by mistral atheist,90.0,70.0,70.0,85.0,70.0,85.0,85.0,85.0
Significance of Names answered by mistral atheist,85.0,90.0,90.0,85.0,60.0,80.0,85.0,75.0
Understanding Foolishness answered by mistral atheist,85.0,85.0,80.0,70.0,70.0,60.0,80.0,85.0
Observing Folly answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,90.0,85.0,85.0
Scriptural References 6 answered by mistral atheist,95.0,90.0,90.0,90.0,85.0,80.0,85.0,60.0
Definition of Holy One answered by mistral atheist,80.0,95.0,90.0,90.0,85.0,80.0,85.0,70.0
Usage in Scripture answered by mistral atheist,95.0,95.0,90.0,90.0,60.0,75.0,85.0,85.0
Translation of Holy One answered by mistral atheist,90.0,90.0,90.0,90.0,85.0,85.0,85.0,80.0
Zion's Historical Significance answered by mistral atheist,85.0,90.0,90.0,85.0,70.0,60.0,85.0,75.0
Biblical Usage of Zion answered by mistral atheist,90.0,95.0,90.0,95.0,85.0,80.0,90.0,85.0
Temple and Jerusalem answered by mistral atheist,85.0,95.0,90.0,90.0,85.0,90.0,85.0,85.0
Understanding Amen answered by mistral atheist,85.0,85.0,85.0,85.0,80.0,60.0,85.0,60.0
Jesus' Teachings answered by mistral atheist,60.0,40.0,65.0,50.0,60.0,70.0,85.0,50.0
Translation of Amen answered by mistral atheist,90.0,85.0,85.0,90.0,85.0,85.0,85.0,90.0
Exalting God answered by mistral atheist,50.0,50.0,70.0,60.0,70.0,50.0,85.0,50.0
Self-Exaltation answered by mistral atheist,95.0,95.0,95.0,95.0,90.0,90.0,90.0,95.0
Scriptural References 7 answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,80.0,90.0,85.0
Understanding the Cornerstone answered by mistral atheist,90.0,90.0,95.0,95.0,85.0,85.0,90.0,80.0
Biblical References to the Cornerstone answered by mistral atheist,93.0,90.0,85.0,90.0,85.0,85.0,85.0,85.0
Symbolism of the Cornerstone answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,85.0,90.0,90.0
Understanding Propitiation answered by mistral atheist,90.0,85.0,90.0,85.0,85.0,70.0,85.0,55.0
Scriptural Basis answered by mistral atheist,95.0,90.0,95.0,95.0,85.0,85.0,85.0,90.0
Relation to Atonement answered by mistral atheist,90.0,90.0,90.0,90.0,85.0,70.0,85.0,70.0
Understanding Lordship answered by mistral atheist,95.0,90.0,90.0,90.0,85.0,85.0,85.0,85.0
Translation and Interpretation answered by mistral atheist,85.0,90.0,90.0,90.0,85.0,80.0,85.0,85.0
Biblical References 4 answered by mistral atheist,90.0,95.0,95.0,90.0,85.0,80.0,90.0,90.0
Understanding Divine Nature answered by mistral atheist,90.0,85.0,85.0,60.0,80.0,70.0,85.0,70.0
Interpreting Divine Glory answered by mistral atheist,80.0,80.0,80.0,75.0,85.0,60.0,85.0,60.0
Authority from God answered by mistral atheist,50.0,20.0,20.0,20.0,85.0,30.0,85.0,20.0
The Nature of Prayer answered by mistral atheist,85.0,90.0,85.0,90.0,85.0,60.0,85.0,60.0
Purpose of Prayer answered by mistral atheist,85.0,90.0,90.0,95.0,85.0,70.0,85.0,85.0
Biblical Examples of Prayer answered by mistral atheist,80.0,95.0,85.0,90.0,85.0,70.0,85.0,70.0
Spiritual Salvation answered by mistral atheist,90.0,90.0,90.0,90.0,80.0,80.0,85.0,85.0
Role of Jesus answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,90.0,90.0,85.0
Requirements for Salvation answered by mistral atheist,90.0,90.0,90.0,90.0,80.0,70.0,85.0,70.0
Ephod significance answered by mistral atheist,90.0,90.0,90.0,95.0,92.0,80.0,85.0,80.0
Ephod materials answered by mistral atheist,90.0,85.0,90.0,90.0,60.0,85.0,85.0,95.0
Ephod idolatry answered by mistral atheist,85.0,80.0,95.0,90.0,85.0,75.0,90.0,60.0
Ministry Definition answered by mistral atheist,95.0,95.0,95.0,95.0,80.0,90.0,85.0,90.0
Old Testament Ministry answered by mistral atheist,90.0,90.0,85.0,90.0,60.0,80.0,85.0,90.0
Service to God answered by mistral atheist,85.0,90.0,90.0,90.0,95.0,85.0,90.0,92.0
Identity of Jesus answered by mistral atheist,90.0,95.0,95.0,95.0,85.0,90.0,85.0,95.0
The Messiah answered by mistral atheist,90.0,90.0,90.0,90.0,70.0,80.0,85.0,90.0
Nature of Miracles answered by mistral atheist,85.0,70.0,80.0,80.0,60.0,50.0,85.0,60.0
Definition of Wisdom answered by mistral atheist,95.0,90.0,95.0,95.0,85.0,80.0,85.0,90.0
Fruits of Wisdom answered by mistral atheist,90.0,85.0,90.0,90.0,80.0,60.0,85.0,75.0
Obedience and Wisdom answered by mistral atheist,65.0,85.0,75.0,70.0,85.0,65.0,85.0,65.0
Understanding Remnant answered by mistral atheist,90.0,90.0,90.0,95.0,85.0,90.0,90.0,92.0
God's Chosen People answered by mistral atheist,90.0,85.0,90.0,75.0,85.0,50.0,85.0,60.0
Historical Context answered by mistral atheist,90.0,90.0,90.0,90.0,85.0,90.0,85.0,85.0
Definition of Sanctification answered by mistral atheist,95.0,90.0,95.0,95.0,80.0,90.0,85.0,90.0
Sanctification in the New Testament answered by mistral atheist,95.0,95.0,95.0,95.0,90.0,80.0,90.0,95.0
Calling to Sanctification answered by mistral atheist,90.0,90.0,92.0,90.0,60.0,40.0,85.0,30.0
Understanding Bonds answered by mistral atheist,85.0,90.0,90.0,85.0,90.0,85.0,85.0,50.0
Marriage and Bonds answered by mistral atheist,95.0,95.0,95.0,95.0,95.0,90.0,90.0,95.0
Freedom from Sin answered by mistral atheist,90.0,85.0,90.0,95.0,95.0,85.0,90.0,85.0
Definition of Holy Place answered by mistral atheist,90.0,90.0,90.0,90.0,85.0,80.0,85.0,90.0
Access to the Most Holy Place answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,85.0,95.0,90.0
General Meaning of Holy Place answered by mistral atheist,70.0,70.0,70.0,70.0,60.0,60.0,85.0,70.0
Biblical Hope Definition answered by mistral atheist,95.0,95.0,90.0,95.0,90.0,90.0,85.0,95.0
Trust in God answered by mistral atheist,90.0,90.0,90.0,90.0,95.0,75.0,85.0,90.0
Hope and Assurance answered by mistral atheist,95.0,95.0,95.0,95.0,85.0,80.0,85.0,90.0
Definition of God answered by mistral atheist,85.0,85.0,95.0,95.0,95.0,65.0,85.0,90.0
God's Name answered by mistral atheist,95.0,90.0,90.0,90.0,85.0,60.0,85.0,70.0
